"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"685",2007,"NL Central",162,83,79,0,51.2,0.515,"2nd of 6",2,"",801,776,2869144,27.7,29.1,40,21,"C.Hart (4.7)","N.Yost (83-79)","Milwaukee Brewers","Popular"
"686",2006,"NL Central",162,75,87,0,46.3,0.44,"4th of 6",8,"",730,833,2335643,28.8,28.3,49,27,"B.Hall (5.8)","N.Yost (75-87)","Milwaukee Brewers","Popular"
"687",2005,"NL Central",162,81,81,0,50,0.519,"3rd of 6",19,"",726,697,2211023,28.4,28,39,19,"G.Jenkins (4.6)","N.Yost (81-81)","Milwaukee Brewers","Popular"
"688",2004,"NL Central",161,67,94,0,41.6,0.42,"6th of 6",37,"",634,757,2062382,28.5,27.2,41,22,"B.Sheets (7.3)","N.Yost (67-94)","Milwaukee Brewers","Popular"
"689",2003,"NL Central",162,68,94,0,42,0.409,"6th of 6",20,"",714,873,1700354,29.8,27.6,42,23,"S.Podsednik (3.6)","N.Yost (68-94)","Milwaukee Brewers","Unpopular"
"690",2002,"NL Central",162,56,106,0,34.6,0.379,"6th of 6",41,"",627,821,1969153,29.9,26.8,49,25,"J.Hernandez (4.5)","D.Lopes (3-12) and J.Royster (53-94)","Milwaukee Brewers","Unpopular"
"691",2001,"NL Central",162,68,94,0,42,0.461,"4th of 6",25,"",740,806,2811041,29.4,27.3,46,24,"R.Belliard (3.5)","D.Lopes (68-94)","Milwaukee Brewers","Popular"
"692",2000,"NL Central",163,73,89,1,45.1,0.45,"3rd of 6",22,"",740,826,1573621,28.8,27.4,46,24,"J.D'Amico (4.8)","D.Lopes (73-89)","Milwaukee Brewers","Unpopular"
"693",1999,"NL Central",161,74,87,0,46,0.462,"5th of 6",22,"",815,886,1701796,28.1,28.2,44,24,"J.Cirillo (4.8)","P.Garner (52-60) and J.Lefebvre (22-27)","Milwaukee Brewers","Unpopular"
"694",1998,"NL Central",162,74,88,0,45.7,0.437,"5th of 6",28,"",707,812,1811593,28.3,28.1,43,23,"J.Cirillo (5.9)","P.Garner (74-88)","Milwaukee Brewers","Unpopular"
"695",1997,"AL Central",161,78,83,0,48.4,0.461,"3rd of 5",8,"",681,742,1444027,28,28.3,44,21,"J.Cirillo (5.3)","P.Garner (78-83)","Milwaukee Brewers","Unpopular"
"696",1996,"AL Central",162,80,82,0,49.4,0.497,"3rd of 5",19,"",894,899,1327155,27.8,27.2,48,24,"B.McDonald (5.3)","P.Garner (80-82)","Milwaukee Brewers","Unpopular"
"697",1995,"AL Central",144,65,79,0,45.1,0.496,"4th of 5",35,"",740,747,1087560,27.9,27.3,41,22,"R.Bones (3.4)","P.Garner (65-79)","Milwaukee Brewers","Unpopular"
"698",1994,"AL Central",115,53,62,0,46.1,0.469,"5th of 5",15,"",547,586,1268399,27.9,28.3,36,15,"R.Bones (4.0)","P.Garner (53-62)","Milwaukee Brewers","Unpopular"
"699",1993,"AL East",162,69,93,0,42.6,0.465,"7th of 7",26,"",733,792,1688080,28.5,27.3,40,19,"G.Vaughn (6.7)","P.Garner (69-93)","Milwaukee Brewers","Unpopular"
"700",1992,"AL East",162,92,70,0,56.8,0.592,"2nd of 7",4,"",740,604,1857351,29.7,27.5,35,15,"P.Molitor (4.8)","P.Garner (92-70)","Milwaukee Brewers","Unpopular"
"701",1991,"AL East",162,83,79,0,51.2,0.533,"4th of 7",8,"",799,744,1478729,30.3,27,39,21,"P.Molitor (5.3)","T.Trebelhorn (83-79)","Milwaukee Brewers","Unpopular"
"702",1990,"AL East",162,74,88,0,45.7,0.483,"6th of 7",14,"",732,760,1752900,29.5,28.6,43,22,"R.Robinson (3.3)","T.Trebelhorn (74-88)","Milwaukee Brewers","Unpopular"
"703",1989,"AL East",162,81,81,0,50,0.518,"4th of 7",8,"",707,679,1970735,28.5,27.9,40,20,"R.Yount (5.8)","T.Trebelhorn (81-81)","Milwaukee Brewers","Unpopular"
"704",1988,"AL East",162,87,75,0,53.7,0.546,"3rd of 7",2,"",682,616,1923238,28.4,27.2,35,14,"T.Higuera (7.4)","T.Trebelhorn (87-75)","Milwaukee Brewers","Unpopular"
"705",1987,"AL East",162,91,71,0,56.2,0.525,"3rd of 7",7,"",862,817,1909244,27.5,26.2,37,17,"T.Higuera (6.3)","T.Trebelhorn (91-71)","Milwaukee Brewers","Unpopular"
"706",1986,"AL East",161,77,84,0,47.8,0.456,"6th of 7",18,"",667,734,1265041,29.2,26.2,39,17,"T.Higuera (9.4)","G.Bamberger (71-81) and T.Trebelhorn (6-3)","Milwaukee Brewers","Unpopular"
"707",1985,"AL East",161,71,90,0,44.1,0.432,"6th of 7",28,"",690,802,1360265,29.9,30.3,39,17,"P.Molitor (3.7)","G.Bamberger (71-90)","Milwaukee Brewers","Unpopular"
"708",1984,"AL East",161,67,94,0,41.6,0.438,"7th of 7",36,"",641,734,1608509,29.7,31.2,36,18,"R.Yount (5.9)","R.Lachemann (67-94)","Milwaukee Brewers","Unpopular"
"709",1983,"AL East",162,87,75,0,53.7,0.535,"5th of 7",11,"",764,708,2397131,29.7,30.6,36,16,"R.Yount (7.3)","H.Kuenn (87-75)","Milwaukee Brewers","Popular"
"710",1982,"AL East",163,95,67,1,58.6,0.598,"1st of 7",0,"Lost WS (4-3)",891,717,1978896,29.5,30.3,33,15,"R.Yount (10.5)","B.Rodgers (23-24) and H.Kuenn (72-43)","Milwaukee Brewers","Unpopular"
"711",1981,"AL East",109,62,47,0,56.9,0.533,"1st of 7",0,"Lost LDS (3-2)",493,459,874292,28.8,29.1,33,16,"R.Yount (4.9)","B.Rodgers (62-47)","Milwaukee Brewers","Very unpopular"
"712",1980,"AL East",162,86,76,0,53.1,0.579,"3rd of 7",17,"",811,682,1857408,28,27.3,33,15,"R.Yount (7.1)","B.Rodgers (39-31) and G.Bamberger (47-45)","Milwaukee Brewers","Unpopular"
"713",1979,"AL East",161,95,66,0,59,0.551,"2nd of 7",8,"",807,722,1918343,27.6,26.6,31,17,"P.Molitor (5.6)","G.Bamberger (95-66)","Milwaukee Brewers","Unpopular"
"714",1978,"AL East",162,93,69,0,57.4,0.596,"3rd of 7",6,"",804,650,1601406,27.4,25.1,35,13,"M.Caldwell (8.2)","G.Bamberger (93-69)","Milwaukee Brewers","Unpopular"
"715",1977,"AL East",162,67,95,0,41.4,0.418,"6th of 7",33,"",639,765,1114938,27.2,24.1,36,13,"D.Money (5.1)","A.Grammas (67-95)","Milwaukee Brewers","Unpopular"
"716",1976,"AL East",161,66,95,0,41,0.437,"6th of 6",32,"",570,655,1012164,27.1,26,41,17,"B.Travers (4.5)","A.Grammas (66-95)","Milwaukee Brewers","Unpopular"
"717",1975,"AL East",162,68,94,0,42,0.427,"5th of 6",28,"",675,792,1213357,27,25.6,36,15,"D.Porter (3.7)","D.Crandall (67-94) and H.Kuenn (1-0)","Milwaukee Brewers","Unpopular"
"718",1974,"AL East",162,76,86,0,46.9,0.491,"5th of 6",15,"",647,660,955741,26.6,26.1,36,14,"T.Murphy (5.1)","D.Crandall (76-86)","Milwaukee Brewers","Very unpopular"
"719",1973,"AL East",162,74,88,0,45.7,0.485,"5th of 6",23,"",708,731,1092158,25.7,26,35,16,"G.Scott (6.7)","D.Crandall (74-88)","Milwaukee Brewers","Unpopular"
"720",1972,"AL East",156,65,91,0,41.7,0.415,"6th of 6",21,"",493,595,600440,26.6,25.9,35,14,"G.Scott (4.9)","D.Bristol (10-20), R.McMillan (1-1) and D.Crandall (54-70)","Milwaukee Brewers","Very unpopular"
"721",1971,"AL West",161,69,92,0,42.9,0.44,"6th of 6",32,"",534,609,731531,27.1,26,43,15,"K.Sanders (3.8)","D.Bristol (69-92)","Milwaukee Brewers","Very unpopular"
"722",1970,"AL West",163,65,97,1,40.1,0.408,"4th of 6",33,"",613,751,933690,29.2,27.8,45,19,"T.Harper (7.4)","D.Bristol (65-97)","Milwaukee Brewers","Very unpopular"
"723",1969,"AL West",163,64,98,1,39.5,0.399,"6th of 6",33,"",639,799,677944,28,28.4,53,25,"W.Comer (3.2)","J.Schultz (64-98)","Milwaukee Brewers","Very unpopular"
"724",2018,"AL Central",162,78,84,0,48.1,0.478,"2nd of 5",13,"",738,775,1959197,28.2,28.5,54,36,"K.Gibson (3.9)","P.Molitor (78-84)","Minnesota Twins","Unpopular"
"725",2017,"AL Central",162,85,77,0,52.5,0.515,"2nd of 5",17,"Lost ALWC (1-0)",815,788,2051279,27.1,29.6,52,36,"B.Buxton (5.1)","P.Molitor (85-77)","Minnesota Twins","Popular"
"726",2016,"AL Central",162,59,103,0,36.4,0.406,"5th of 5",35,"",722,889,1963912,26.9,28.3,49,29,"B.Dozier (6.3)","P.Molitor (59-103)","Minnesota Twins","Unpopular"
"727",2015,"AL Central",162,83,79,0,51.2,0.497,"2nd of 5",12,"",696,700,2220054,28.3,29.1,44,24,"K.Gibson (3.0)","P.Molitor (83-79)","Minnesota Twins","Popular"
"728",2014,"AL Central",162,70,92,0,43.2,0.462,"5th of 5",20,"",715,777,2250606,27.5,29.2,48,23,"B.Dozier (5.2)","R.Gardenhire (70-92)","Minnesota Twins","Popular"
"729",2013,"AL Central",162,66,96,0,40.7,0.388,"4th of 5",27,"",614,788,2477644,28.3,28.3,44,23,"J.Mauer (5.6)","R.Gardenhire (66-96)","Minnesota Twins","Popular"
"730",2012,"AL Central",162,66,96,0,40.7,0.422,"5th of 5",22,"",701,832,2776354,28.9,27.8,47,25,"D.Span (4.9)","R.Gardenhire (66-96)","Minnesota Twins","Popular"
"731",2011,"AL Central",162,63,99,0,38.9,0.383,"5th of 5",32,"",619,804,3168116,27.5,28.5,45,24,"S.Baker (4.3)","R.Gardenhire (63-99)","Minnesota Twins","Very popular"
"732",2010,"AL Central",162,94,68,0,58,0.569,"1st of 5",0,"Lost LDS (3-0)",781,671,3223640,28.4,28.6,42,21,"J.Mauer (5.9)","R.Gardenhire (94-68)","Minnesota Twins","Very popular"
"733",2009,"AL Central",163,87,76,0,53.4,0.53,"1st of 5",0,"Lost LDS (3-0)",817,765,2416237,27.6,27.9,42,24,"J.Mauer (7.8)","R.Gardenhire (87-76)","Minnesota Twins","Popular"
"734",2008,"AL Central",163,88,75,0,54,0.549,"2nd of 5",1,"",829,745,2302431,26.2,27.5,40,19,"J.Mauer (5.6)","R.Gardenhire (88-75)","Minnesota Twins","Popular"
"735",2007,"AL Central",162,79,83,0,48.8,0.496,"3rd of 5",17,"",718,725,2296383,28.4,27.4,42,19,"J.Santana (5.2)","R.Gardenhire (79-83)","Minnesota Twins","Popular"
"736",2006,"AL Central",162,96,66,0,59.3,0.572,"1st of 5",0,"Lost LDS (3-0)",801,683,2285018,28.3,26.9,39,17,"J.Santana (7.6)","R.Gardenhire (96-66)","Minnesota Twins","Popular"
"737",2005,"AL Central",162,83,79,0,51.2,0.518,"3rd of 5",16,"",688,662,2034243,27.6,27.9,37,15,"J.Santana (7.2)","R.Gardenhire (83-79)","Minnesota Twins","Popular"
"738",2004,"AL Central",162,92,70,0,56.8,0.54,"1st of 5",0,"Lost LDS (3-1)",780,715,1911490,27.8,28.2,42,18,"J.Santana (8.8)","R.Gardenhire (92-70)","Minnesota Twins","Unpopular"
"739",2003,"AL Central",162,90,72,0,55.6,0.525,"1st of 5",0,"Lost LDS (3-1)",801,758,1946011,27.2,29.7,42,20,"A.Pierzynski (4.5)","R.Gardenhire (90-72)","Minnesota Twins","Unpopular"
"740",2002,"AL Central",161,94,67,0,58.4,0.535,"1st of 5",0,"Lost ALCS (4-1)",768,712,1924473,26.6,28.8,42,19,"J.Jones (5.4)","R.Gardenhire (94-67)","Minnesota Twins","Unpopular"
"741",2001,"AL Central",162,85,77,0,52.5,0.503,"2nd of 5",6,"",771,766,1782929,26.2,27.4,42,21,"J.Mays (6.6)","T.Kelly (85-77)","Minnesota Twins","Unpopular"
"742",2000,"AL Central",162,69,93,0,42.6,0.426,"5th of 5",26,"",748,880,1000760,26.5,26.6,41,17,"B.Radke (6.2)","T.Kelly (69-93)","Minnesota Twins","Unpopular"
"743",1999,"AL Central",161,63,97,1,39.4,0.406,"5th of 5",33,"",686,845,1202829,26.8,26.3,37,18,"B.Radke (6.5)","T.Kelly (63-97)","Minnesota Twins","Unpopular"
"744",1998,"AL Central",162,70,92,0,43.2,0.451,"4th of 5",19,"",734,818,1165976,29.9,28.7,38,17,"B.Radke (5.2)","T.Kelly (70-92)","Minnesota Twins","Unpopular"
"745",1997,"AL Central",162,68,94,0,42,0.45,"4th of 5",18,"",772,861,1411064,29.2,28.1,39,18,"C.Knoblauch (6.8)","T.Kelly (68-94)","Minnesota Twins","Unpopular"
"746",1996,"AL Central",162,78,84,0,48.1,0.488,"4th of 5",21,"",877,900,1437352,28.6,25.8,38,18,"C.Knoblauch (8.7)","T.Kelly (78-84)","Minnesota Twins","Unpopular"
"747",1995,"AL Central",144,56,88,0,38.9,0.394,"5th of 5",44,"",703,889,1057667,27.4,25.7,46,22,"C.Knoblauch (6.7)","T.Kelly (56-88)","Minnesota Twins","Unpopular"
"748",1994,"AL Central",113,53,60,0,46.9,0.433,"4th of 5",14,"",594,688,1398565,28.9,28.1,33,16,"C.Knoblauch (4.1)","T.Kelly (53-60)","Minnesota Twins","Unpopular"
"749",1993,"AL West",162,71,91,0,43.8,0.418,"5th of 7",23,"",693,830,2048673,29.7,27.5,41,16,"C.Knoblauch (3.6)","T.Kelly (71-91)","Minnesota Twins","Popular"
"750",1992,"AL West",162,90,72,0,55.6,0.561,"2nd of 7",6,"",747,653,2482428,28.7,27.7,39,17,"K.Puckett (7.1)","T.Kelly (90-72)","Minnesota Twins","Popular"
"751",1991,"AL West",162,95,67,0,58.6,0.579,"1st of 7",0,"Won WS (4-3)",776,652,2293842,29.1,28.6,35,16,"K.Tapani (6.8)","T.Kelly (95-67)","Minnesota Twins","Popular"
"752",1990,"AL West",162,74,88,0,45.7,0.459,"7th of 7",29,"",666,729,1751584,29.5,27.1,39,18,"G.Gagne (3.2)","T.Kelly (74-88)","Minnesota Twins","Unpopular"
"753",1989,"AL West",162,80,82,0,49.4,0.501,"5th of 7",19,"",740,738,2277438,29.4,28,43,23,"K.Puckett (4.9)","T.Kelly (80-82)","Minnesota Twins","Popular"
"754",1988,"AL West",162,91,71,0,56.2,0.555,"2nd of 7",13,"",759,672,3030672,28.4,30,41,20,"K.Puckett (7.8)","T.Kelly (91-71)","Minnesota Twins","Very popular"
"755",1987,"AL West",162,85,77,0,52.5,0.489,"1st of 7",0,"Won WS (4-3)",786,806,2081976,27.6,31.4,36,17,"F.Viola (8.1)","T.Kelly (85-77)","Minnesota Twins","Popular"
"756",1986,"AL West",162,71,91,0,43.8,0.443,"6th of 7",21,"",741,839,1255453,26.8,28.5,38,18,"G.Gaetti (5.8)","R.Miller (59-80) and T.Kelly (12-11)","Minnesota Twins","Unpopular"
"757",1985,"AL West",162,77,85,0,47.5,0.453,"4th of 7",14,"",705,782,1651814,26.3,28.1,36,17,"K.Puckett (2.9)","B.Gardner (27-35) and R.Miller (50-50)","Minnesota Twins","Unpopular"
"758",1984,"AL West",162,81,81,0,50,0.499,"2nd of 7",3,"",673,675,1598692,25.7,27.2,39,16,"K.Hrbek (5.6)","B.Gardner (81-81)","Minnesota Twins","Unpopular"
"759",1983,"AL West",162,70,92,0,43.2,0.433,"5th of 7",29,"",709,822,858939,25.9,26.3,35,14,"J.Castino (4.5)","B.Gardner (70-92)","Minnesota Twins","Very unpopular"
"760",1982,"AL West",162,60,102,0,37,0.401,"7th of 7",33,"",657,819,921186,25.2,25.2,39,17,"T.Brunansky (5.6)","B.Gardner (60-102)","Minnesota Twins","Very unpopular"
"761",1981,"AL West",110,41,68,1,37.6,0.387,"7th of 7",23,"",378,486,469090,26.8,27.2,38,14,"D.Corbett (2.8)","J.Goryl (11-25) and B.Gardner (30-43)","Minnesota Twins","Very unpopular"
"762",1980,"AL West",161,77,84,0,47.8,0.465,"3rd of 7",19,"",670,724,769206,26.5,28.7,36,14,"D.Corbett (5.7)","G.Mauch (54-71) and J.Goryl (23-13)","Minnesota Twins","Very unpopular"
"763",1979,"AL West",162,82,80,0,50.6,0.524,"4th of 7",6,"",764,725,1070521,26.1,29.5,36,16,"J.Koosman (7.2)","G.Mauch (82-80)","Minnesota Twins","Unpopular"
"764",1978,"AL West",162,73,89,0,45.1,0.492,"4th of 7",19,"",666,678,787878,26.9,26.5,33,16,"D.Goltz (6.6)","G.Mauch (73-89)","Minnesota Twins","Very unpopular"
"765",1977,"AL West",161,84,77,0,52.2,0.551,"4th of 7",17,"",867,776,1162727,26.6,27,36,15,"R.Carew (9.7)","G.Mauch (84-77)","Minnesota Twins","Unpopular"
"766",1976,"AL West",162,85,77,0,52.5,0.525,"3rd of 6",5,"",743,704,715394,26.5,26.6,31,13,"R.Carew (6.8)","G.Mauch (85-77)","Minnesota Twins","Very unpopular"
"767",1975,"AL West",159,76,83,0,47.8,0.492,"4th of 6",20,"",724,736,737156,27.6,25.8,35,13,"R.Carew (7.9)","F.Quilici (76-83)","Minnesota Twins","Very unpopular"
"768",1974,"AL West",163,82,80,1,50.6,0.503,"3rd of 6",8,"",673,669,662401,28.2,26.4,32,13,"B.Blyleven (7.8)","F.Quilici (82-80)","Minnesota Twins","Very unpopular"
"769",1973,"AL West",162,81,81,0,50,0.529,"3rd of 6",13,"",738,692,907499,28,26.6,33,13,"B.Blyleven (9.7)","F.Quilici (81-81)","Minnesota Twins","Very unpopular"
"770",1972,"AL West",154,77,77,0,50,0.502,"3rd of 6",15,"",537,535,797901,27.4,26.9,33,12,"R.Carew (5.4)","B.Rigney (36-34) and F.Quilici (41-43)","Minnesota Twins","Very unpopular"
"771",1971,"AL West",160,74,86,0,46.3,0.489,"5th of 6",26,"",654,670,940858,28.5,27.3,36,14,"B.Blyleven (6.2)","B.Rigney (74-86)","Minnesota Twins","Very unpopular"
"772",1970,"AL West",162,98,64,0,60.5,0.594,"1st of 6",0,"Lost ALCS (3-0)",744,605,1261887,28.6,28.1,35,13,"T.Oliva (7.0)","B.Rigney (98-64)","Minnesota Twins","Unpopular"
"773",1969,"AL West",162,97,65,0,59.9,0.61,"1st of 6",0,"Lost ALCS (3-0)",790,618,1349328,28.9,28.9,36,15,"J.Perry (6.5)","B.Martin (97-65)","Minnesota Twins","Unpopular"
"774",2018,"NL East",162,77,85,0,47.5,0.479,"4th of 5",13,"",676,707,2224995,28.4,28,56,30,"J.deGrom (10.1)","M.Callaway (77-85)","New York Mets","Popular"
"775",2017,"NL East",162,70,92,0,43.2,0.427,"4th of 5",27,"",735,863,2460622,28.9,27.5,52,29,"J.deGrom (4.5)","T.Collins (70-92)","New York Mets","Popular"
"776",2016,"NL East",162,87,75,0,53.7,0.538,"2nd of 5",8,"Lost NLWC (1-0)",671,617,2789602,29.5,28.4,46,22,"N.Syndergaard (5.8)","T.Collins (87-75)","New York Mets","Popular"
"777",2015,"NL East",162,90,72,0,55.6,0.549,"1st of 5",0,"Lost WS (4-1)",683,613,2569753,28.6,28.2,49,26,"J.deGrom (5.4)","T.Collins (90-72)","New York Mets","Popular"
"778",2014,"NL East",162,79,83,0,48.8,0.508,"2nd of 5",17,"",629,618,2148808,28.4,28.9,45,22,"J.Lagares (5.3)","T.Collins (79-83)","New York Mets","Popular"
"779",2013,"NL East",162,74,88,0,45.7,0.454,"3rd of 5",22,"",619,684,2135657,28.3,29.1,53,29,"D.Wright (5.9)","T.Collins (74-88)","New York Mets","Popular"
"780",2012,"NL East",162,74,88,0,45.7,0.46,"4th of 5",24,"",650,709,2242803,27.9,30.3,49,28,"D.Wright (7.1)","T.Collins (74-88)","New York Mets","Popular"
"781",2011,"NL East",162,77,85,0,47.5,0.485,"4th of 5",25,"",718,742,2352596,28,30,46,23,"J.Reyes (4.6)","T.Collins (77-85)","New York Mets","Popular"
"782",2010,"NL East",162,79,83,0,48.8,0.503,"4th of 5",18,"",656,652,2559738,28.4,29.5,47,20,"A.Pagan (5.3)","J.Manuel (79-83)","New York Mets","Popular"
"783",2009,"NL East",162,70,92,0,43.2,0.445,"4th of 5",23,"",671,757,3168571,29.5,29.2,53,24,"A.Pagan (4.0)","J.Manuel (70-92)","New York Mets","Very popular"
"784",2008,"NL East",162,89,73,0,54.9,0.551,"2nd of 5",3,"",799,715,4042045,30.1,29,50,24,"J.Santana (7.1)","W.Randolph (34-35) and J.Manuel (55-38)","New York Mets","Very popular"
"785",2007,"NL East",162,88,74,0,54.3,0.532,"2nd of 5",1,"",804,750,3853955,30.7,31.3,49,24,"D.Wright (8.3)","W.Randolph (88-74)","New York Mets","Very popular"
"786",2006,"NL East",162,97,65,0,59.9,0.56,"1st of 5",0,"Lost NLCS (4-3)",834,731,3379535,30.2,32.2,49,27,"C.Beltran (8.2)","W.Randolph (97-65)","New York Mets","Very popular"
"787",2005,"NL East",162,83,79,0,51.2,0.549,"3rd of 5",7,"",722,648,2829929,28.8,31.9,42,22,"P.Martinez (6.5)","W.Randolph (83-79)","New York Mets","Popular"
"788",2004,"NL East",162,71,91,0,43.8,0.47,"4th of 5",25,"",684,731,2318951,29.8,32.5,52,26,"A.Leiter (4.7)","A.Howe (71-91)","New York Mets","Popular"
"789",2003,"NL East",161,66,95,0,41,0.427,"5th of 5",34,"",642,754,2140599,29.3,31.6,50,25,"S.Trachsel (4.4)","A.Howe (66-95)","New York Mets","Popular"
"790",2002,"NL East",161,75,86,0,46.6,0.491,"5th of 5",26,"",690,703,2804838,30.6,30.3,48,25,"E.Alfonzo (5.0)","B.Valentine (75-86)","New York Mets","Popular"
"791",2001,"NL East",162,82,80,0,50.6,0.452,"3rd of 5",6,"",642,713,2658330,30.4,31.1,44,22,"M.Piazza (4.5)","B.Valentine (82-80)","New York Mets","Popular"
"792",2000,"NL East",162,94,68,0,58,0.541,"2nd of 5",1,"Lost WS (4-1)",807,738,2820530,30.4,31,47,20,"E.Alfonzo (6.4)","B.Valentine (94-68)","New York Mets","Popular"
"793",1999,"NL East",163,97,66,0,59.5,0.583,"2nd of 5",6,"Lost NLCS (4-2)",853,711,2725668,30.1,32.7,45,23,"R.Ventura (6.7)","B.Valentine (97-66)","New York Mets","Popular"
"794",1998,"NL East",162,88,74,0,54.3,0.541,"2nd of 5",18,"",706,645,2287948,28.9,31.7,49,20,"J.Olerud (7.6)","B.Valentine (88-74)","New York Mets","Popular"
"795",1997,"NL East",162,88,74,0,54.3,0.542,"3rd of 5",13,"",777,709,1766174,27.3,29.4,45,21,"E.Alfonzo (6.2)","B.Valentine (88-74)","New York Mets","Unpopular"
"796",1996,"NL East",162,71,91,0,43.8,0.48,"4th of 5",25,"",746,779,1588323,27.2,27.4,40,17,"B.Gilkey (8.1)","D.Green (59-72) and B.Valentine (12-19)","New York Mets","Unpopular"
"797",1995,"NL East",144,69,75,0,47.9,0.528,"2nd of 5",21,"",657,618,1273183,27.4,27.2,45,22,"J.Kent (3.2)","D.Green (69-75)","New York Mets","Unpopular"
"798",1994,"NL East",113,55,58,0,48.7,0.482,"3rd of 5",18,"",506,526,1151471,27.8,28.6,37,18,"B.Saberhagen (5.7)","D.Green (55-58)","New York Mets","Unpopular"
"799",1993,"NL East",162,59,103,0,36.4,0.454,"7th of 7",38,"",672,744,1873183,29.4,29.2,41,19,"D.Gooden (4.1)","J.Torborg (13-25) and D.Green (46-78)","New York Mets","Unpopular"
"800",1992,"NL East",162,72,90,0,44.4,0.461,"5th of 6",24,"",599,653,1779534,30,28.2,44,19,"S.Fernandez (6.3)","J.Torborg (72-90)","New York Mets","Unpopular"
"801",1991,"NL East",161,77,84,0,47.8,0.496,"5th of 6",20,"",640,646,2284484,29.1,28,40,18,"D.Cone (4.3)","B.Harrelson (74-80) and M.Cubbage (3-4)","New York Mets","Popular"
"802",1990,"NL East",162,91,71,0,56.2,0.606,"2nd of 6",4,"",775,613,2732745,27.5,28,44,15,"F.Viola (6.3)","D.Johnson (20-22) and B.Harrelson (71-49)","New York Mets","Popular"
"803",1989,"NL East",162,87,75,0,53.7,0.563,"2nd of 6",6,"",683,595,2918710,27.5,27.5,42,20,"H.Johnson (6.9)","D.Johnson (87-75)","New York Mets","Popular"
"804",1988,"NL East",160,100,60,0,62.5,0.625,"1st of 6",0,"Lost NLCS (4-3)",703,532,3055445,27.8,26.6,32,15,"D.Cone (5.7)","D.Johnson (100-60)","New York Mets","Very popular"
"805",1987,"NL East",162,92,70,0,56.8,0.575,"2nd of 6",3,"",823,698,3034129,28,25.8,39,18,"D.Strawberry (6.4)","D.Johnson (92-70)","New York Mets","Very popular"
"806",1986,"NL East",162,108,54,0,66.7,0.635,"1st of 6",0,"Won WS (4-3)",783,578,2767601,28,25.5,36,15,"K.Hernandez (5.5)","D.Johnson (108-54)","New York Mets","Popular"
"807",1985,"NL East",162,98,64,0,60.5,0.591,"2nd of 6",3,"",695,568,2761601,28.1,24.7,38,17,"D.Gooden (13.3)","D.Johnson (98-64)","New York Mets","Popular"
"808",1984,"NL East",162,90,72,0,55.6,0.483,"2nd of 6",6,"",652,676,1842695,27.2,25.2,40,16,"K.Hernandez (6.3)","D.Johnson (90-72)","New York Mets","Unpopular"
"809",1983,"NL East",162,68,94,0,42,0.424,"6th of 6",22,"",575,680,1112774,27.7,29.2,40,15,"K.Hernandez (4.4)","G.Bamberger (16-30) and F.Howard (52-64)","New York Mets","Unpopular"
"810",1982,"NL East",162,65,97,0,40.1,0.422,"6th of 6",27,"",609,723,1323036,28.7,27.5,40,18,"J.Stearns (3.8)","G.Bamberger (65-97)","New York Mets","Unpopular"
"811",1981,"NL East",105,41,62,2,39.8,0.402,"5th of 6",18,"",348,432,704244,28.3,27.5,38,19,"H.Brooks (2.6)","J.Torre (41-62)","New York Mets","Very unpopular"
"812",1980,"NL East",162,67,95,0,41.4,0.437,"5th of 6",24,"",611,702,1192073,27.4,26.5,40,17,"L.Mazzilli (3.3)","J.Torre (67-95)","New York Mets","Unpopular"
"813",1979,"NL East",163,63,99,1,38.9,0.421,"6th of 6",35,"",593,706,788905,27.6,26.5,39,20,"L.Mazzilli (4.9)","J.Torre (63-99)","New York Mets","Very unpopular"
"814",1978,"NL East",162,66,96,0,40.7,0.442,"6th of 6",24,"",607,690,1007328,27.1,27.5,36,16,"C.Swan (5.5)","J.Torre (66-96)","New York Mets","Unpopular"
"815",1977,"NL East",162,64,98,0,39.5,0.445,"6th of 6",37,"",587,663,1066825,27,27.2,40,16,"L.Randle (4.2)","J.Frazier (15-30) and J.Torre (49-68)","New York Mets","Unpopular"
"816",1976,"NL East",162,86,76,0,53.1,0.561,"3rd of 6",15,"",615,538,1468754,28.6,29.4,37,13,"T.Seaver (5.2)","J.Frazier (86-76)","New York Mets","Unpopular"
"817",1975,"NL East",162,82,80,0,50.6,0.515,"3rd of 6",10,"",646,625,1730566,28.6,27,37,16,"T.Seaver (8.2)","Y.Berra (56-53) and R.McMillan (26-27)","New York Mets","Unpopular"
"818",1974,"NL East",162,71,91,0,43.8,0.445,"5th of 6",17,"",572,646,1722209,27.8,28.2,37,16,"J.Matlack (8.7)","Y.Berra (71-91)","New York Mets","Unpopular"
"819",1973,"NL East",161,82,79,0,50.9,0.515,"1st of 6",0,"Lost WS (4-3)",608,588,1912390,27.9,27.2,40,16,"T.Seaver (11.0)","Y.Berra (82-79)","New York Mets","Unpopular"
"820",1972,"NL East",156,83,73,0,53.2,0.459,"3rd of 6",13,"",528,578,2134185,27.3,26.1,34,14,"J.Matlack (6.1)","Y.Berra (83-73)","New York Mets","Popular"
"821",1971,"NL East",162,83,79,0,51.2,0.531,"3rd of 6",14,"",588,550,2266680,26.6,26.1,34,13,"T.Seaver (10.9)","G.Hodges (83-79)","New York Mets","Popular"
